feature,importance,signed_value
membership_duration_days,1.4779896139096877,1.4779896139096877
channel_social,1.1224514287552252,1.1224514287552252
total_spend_before,1.0784456986405337,1.0784456986405337
difficulty,1.0452521454685257,-1.0452521454685257
offers_received_before,1.003288444837017,-1.003288444837017
offers_completed_before,0.9791629897419551,0.9791629897419551
n_transactions_before,0.960055537690657,-0.960055537690657
avg_spend_before,0.9314033735444698,0.9314033735444698
income_imputed,0.9070066380168327,0.9070066380168327
duration_days,0.7415671648366329,0.7415671648366329
offers_viewed_before,0.6442696972388903,0.6442696972388903
gender_unknown,0.5950645029686978,-0.5950645029686978
income_missing,0.5950645029686978,-0.5950645029686978
age_missing,0.5950645029686978,-0.5950645029686978
offer_type_bogo,0.479936921778625,-0.479936921778625
gender_M,0.3500821072233063,-0.3500821072233063
offer_type_discount,0.3361055534682649,-0.3361055534682649
channel_web,0.32504501946538294,0.32504501946538294
reward,0.31729775028457946,-0.31729775028457946
income_to_difficulty_ratio,0.26992497477425215,-0.26992497477425215
age_imputed,0.24760774468501542,0.24760774468501542
channel_mobile,0.2158270705802637,0.2158270705802637
gender_O,0.21435571752124183,0.21435571752124183
days_since_last_transaction_missing,0.20668073455440444,-0.20668073455440444
reward_to_difficulty_ratio,0.13895760003419458,-0.13895760003419458
gender_F,0.08525158258135675,-0.08525158258135675
days_since_last_transaction,0.07172079387530507,-0.07172079387530507
offer_completion_rate_before,0.0405136640292508,-0.0405136640292508
offer_view_rate_before,0.034982964315388235,-0.034982964315388235
channel_email,0.0,0.0
