feature,importance
membership_duration_days,0.21335208232572814
age_imputed,0.133073648006596
income_to_difficulty_ratio,0.11374799897584846
income_imputed,0.10841293790452683
avg_spend_before,0.07190996772797506
total_spend_before,0.06237062804131023
days_since_last_transaction,0.045718080379668666
channel_social,0.03204408051361269
n_transactions_before,0.027813824532956426
reward,0.01862809669896528
offers_received_before,0.01820799349814008
income_missing,0.014106683124520729
gender_unknown,0.013807211568318293
duration_days,0.013652894596747492
offers_viewed_before,0.012205552195400109
difficulty,0.01177507300554348
offer_view_rate_before,0.011622079014780826
age_missing,0.010913648347656025
gender_F,0.010646159469178157
gender_M,0.010082615791971096
offer_completion_rate_before,0.00927108233427642
reward_to_difficulty_ratio,0.007844767920540835
offers_completed_before,0.007602837017231306
offer_type_bogo,0.0043874677130516775
channel_mobile,0.004057902446293814
offer_type_discount,0.0037903377584304065
channel_web,0.003096792647226551
days_since_last_transaction_missing,0.003076431389030271
gender_O,0.002781125054474836
channel_email,0.0
