budget_spend,greedy_expected_incremental_response,random_expected_incremental_response
0.0,0.0,0.005028754675619216
567.8229166666666,16.4284626403615,2.1469112763552918
1135.6458333333333,27.346907038164378,4.273601172967366
1703.46875,36.24591569617318,6.440321511191907
2271.2916666666665,43.972879371000516,8.57020878713363
2839.114583333333,50.98884077144839,10.684542253138215
3406.9375,57.35387779935378,12.806185811376508
3974.7604166666665,63.19379507840447,14.994816687812401
4542.583333333333,68.63737056953877,17.089528184472112
5110.40625,73.73087748952183,19.240203538058108
5678.229166666666,78.53477689308221,21.33451091297762
6246.052083333333,83.07755498894281,23.46916551997125
6813.875,87.38130162031612,25.56681211523319
7381.697916666666,91.44716560743704,27.682878886522243
7949.520833333333,95.27993701216351,29.794068615106575
8517.34375,98.88472154110255,31.95272096279385
9085.166666666666,102.28508534033375,34.076253684131174
9652.989583333332,105.50667222364791,36.20451419816934
10220.8125,108.57999373230848,38.345028429015336
10788.635416666666,111.51269789412224,40.452531737337814
11356.458333333332,114.29575495260706,42.59333448077357
11924.28125,116.94831683810007,44.75614855245475
12492.104166666666,119.47935265296114,46.90553639636968
13059.927083333332,121.90714030784463,49.04618308118776
13627.75,124.20579649149649,51.166493422923395
