n_clusters,inertia,silhouette_score
2,79733.50317927558,0.22861467576718006
3,64515.728911068494,0.2517628330762291
4,57551.7885832646,0.25534664021621284
5,51945.807518832946,0.25075650405173
6,47406.27792785971,0.20974332697971146
7,44261.182819285976,0.20165964420995663
8,41592.121912675175,0.195913154706775
